"Table","Year","MsCode","CatCode","HECCode","Estimate","RSE","LowerCIB","UpperCIB","Flag"
"T3","2023","M002","C002N","08","     116.112","24.3","      87.937","     144.287"," "
"T3","2023","M002","C002O","08","   3255.585","3.9","   3127.930","   3383.241"," "
"T3","2023","M002","C002P","08","   3987.209","3.5","   3846.884","   4127.535"," "
"T3","2023","M002","C002A","09","     620.144","7.7","     572.154","     668.135"," "
"T3","2023","M002","C002B","09","      11.819","82.7","       2.041","      21.596"," "
"T3","2023","M002","C002C","09","      40.519","38.6","      24.894","      56.144"," "
"T3","2023","M002","C002D","09","     633.750","17.7","     521.792","     745.709"," "
"T3","2023","M002","C002E","09","     639.204","23.5","     488.787","     789.621"," "
"T3","2023","M002","C002F","09","       2.459","93.7","       0.156","       4.761"," "
"T3","2023","M002","C002G","09","     653.311","11.4","     578.653","     727.968"," "
"T3","2023","M002","C002H","09","     845.766","17.0","     702.307","     989.225"," "
"T3","2023","M002","C002I","09","     457.397","98.2","       8.075","     906.718"," "
"T3","2023","M002","C002J","09","       4.247","65.9","       1.449","       7.045"," "
"T3","2023","M002","C002K","09","     852.911","15.0","     724.730","     981.091"," "
"T3","2023","M002","C002L","09","      10.238","99.4","       0.060","      20.417"," "
"T3","2023","M002","C002M","09","      86.490","44.5","      47.983","     124.997"," "
"T3","2023","M002","C002N","09","   1020.018","26.7","     747.678","   1292.358"," "
"T3","2023","M002","C002O","09","   7662.447","7.7","   7069.096","   8255.797"," "
"T3","2023","M002","C002P","09","  13540.719","6.0","  12729.111","  14352.328"," "
"T3","2023","M002","C002A","10"," "," "," "," ","S"
"T3","2023","M002","C002B","10"," "," "," "," ","S"
"T3","2023","M002","C002C","10"," "," "," "," ","S"
"T3","2023","M002","C002D","10"," "," "," "," ","S"
"T3","2023","M002","C002E","10"," "," "," "," ","S"
"T3","2023","M002","C002F","10"," "," "," "," ","S"
"T3","2023","M002","C002G","10"," "," "," "," ","S"
"T3","2023","M002","C002H","10"," "," "," "," ","S"
"T3","2023","M002","C002I","10"," "," "," "," ","S"
"T3","2023","M002","C002J","10"," "," "," "," ","S"
"T3","2023","M002","C002K","10"," "," "," "," ","S"
"T3","2023","M002","C002L","10"," "," "," "," ","S"
"T3","2023","M002","C002M","10"," "," "," "," ","S"
"T3","2023","M002","C002N","10"," "," "," "," ","S"
"T3","2023","M002","C002O","10","   2027.680","17.7","   1669.250","   2386.110"," "
"T3","2023","M002","C002P","10","   2027.680","17.7","   1669.250","   2386.110"," "
"T3","2023","M002","C002A","11","     935.396","7.5","     865.665","   1005.127"," "
"T3","2023","M002","C002B","11","     312.489","28.7","     222.934","     402.044"," "
"T3","2023","M002","C002C","11","      34.197","45.7","      18.577","      49.817"," "
"T3","2023","M002","C002D","11","      51.488","74.9","      12.902","      90.073"," "
"T3","2023","M002","C002E","11","      63.164","62.4","      23.734","     102.593"," "
"T3","2023","M002","C002F","11","     526.295","14.4","     450.519","     602.071"," "
"T3","2023","M002","C002G","11","     557.494","18.5","     454.428","     660.559"," "
"T3","2023","M002","C002H","11","      95.557","44.5","      53.042","     138.072"," "
"T3","2023","M002","C002I","11","      25.508","84.2","       4.027","      46.988"," "
"T3","2023","M002","C002J","11","      32.828","46.2","      17.661","      47.996"," "
"T3","2023","M002","C002K","11","     126.514","24.5","      95.534","     157.493"," "
"T3","2023","M002","C002L","11","      27.655","65.5","       9.535","      45.775"," "
"T3","2023","M002","C002M","11","      24.599","117.7","      -4.365","      53.562"," "
"T3","2023","M002","C002N","11","     280.104","35.7","     180.050","     380.157"," "
"T3","2023","M002","C002O","11","  11042.384","4.9","  10497.721","  11587.047"," "
"T3","2023","M002","C002P","11","  14135.671","4.2","  13543.102","  14728.239"," "
"T3","2023","M002","C002A","13"," "," "," "," ","S"
"T3","2023","M002","C002B","13"," "," "," "," ","S"
"T3","2023","M002","C002C","13"," "," "," "," ","S"
"T3","2023","M002","C002D","13"," "," "," "," ","S"
"T3","2023","M002","C002E","13"," "," "," "," ","S"
"T3","2023","M002","C002F","13"," "," "," "," ","S"
"T3","2023","M002","C002G","13"," "," "," "," ","S"
"T3","2023","M002","C002H","13"," "," "," "," ","S"
"T3","2023","M002","C002I","13"," "," "," "," ","S"
"T3","2023","M002","C002J","13"," "," "," "," ","S"
"T3","2023","M002","C002K","13"," "," "," "," ","S"
"T3","2023","M002","C002L","13"," "," "," "," ","S"
"T3","2023","M002","C002M","13"," "," "," "," ","S"
"T3","2023","M002","C002N","13"," "," "," "," ","S"
"T3","2023","M002","C002O","13","  17885.823","5.3","  16939.915","  18831.730"," "
"T3","2023","M002","C002P","13","  17885.823","5.3","  16939.915","  18831.730"," "
"T3","2023","M002","C002A","14"," "," "," "," ","S"
"T3","2023","M002","C002B","14"," "," "," "," ","S"
"T3","2023","M002","C002C","14"," "," "," "," ","S"
"T3","2023","M002","C002D","14","      -3.614","88.7","      -6.818","      -0.409"," "
"T3","2023","M002","C002E","14"," "," "," "," ","S"
"T3","2023","M002","C002F","14"," "," "," "," ","S"
"T3","2023","M002","C002G","14"," "," "," "," ","S"
"T3","2023","M002","C002H","14"," "," "," "," ","S"
"T3","2023","M002","C002I","14","    -730.812","35.7","    -991.544","    -470.081"," "
"T3","2023","M002","C002J","14"," "," "," "," ","S"
"T3","2023","M002","C002K","14"," "," "," "," ","S"
"T3","2023","M002","C002L","14"," "," "," "," ","S"
"T3","2023","M002","C002M","14","     -33.251","109.7","     -69.745","       3.242"," "
"T3","2023","M002","C002N","14","     -37.007","116.8","     -80.225","       6.212"," "
"T3","2023","M002","C002O","14","  -3152.112","18.2","  -3724.704","  -2579.521"," "
"T3","2023","M002","C002P","14","  -3962.129","15.3","  -4567.391","  -3356.867"," "
"T3","2023","M002","C002A","Net","  25302.328","3.2","  24501.639","  26103.016"," "
"T3","2023","M002","C002B","Net","   2319.927","13.3","   2010.640","   2629.215"," "
"T3","2023","M002","C002C","Net","   1472.935","15.6","   1243.633","   1702.237"," "
"T3","2023","M002","C002D","Net","   1941.079","9.7","   1753.061","   2129.096"," "
"T3","2023","M002","C002E","Net","   2331.378","14.6","   1991.140","   2671.616"," "
"T3","2023","M002","C002F","Net","   1275.803","10.4","   1142.530","   1409.076"," "
"T3","2023","M002","C002G","Net","   3572.580","7.8","   3294.361","   3850.800"," "
"T3","2023","M002","C002H","Net","   1622.601","14.8","   1382.363","   1862.839"," "
"T3","2023","M002","C002I","Net","   6171.409","17.7","   5080.994","   7261.824"," "
"T3","2023","M002","C002J","Net","   6577.169","5.8","   6193.611","   6960.728"," "
"T3","2023","M002","C002K","Net","   1426.055","10.5","   1276.960","   1575.151"," "
"T3","2023","M002","C002L","Net","   8265.158","4.9","   7858.015","   8672.300"," "
"T3","2023","M002","C002M","Net","     938.191","19.7","     753.308","   1123.074"," "
"T3","2023","M002","C002N","Net","   5361.970","9.9","   4833.697","   5890.243"," "
"T3","2023","M002","C002O","Net","  94065.557","3.4","  90873.806","  97257.307"," "
"T3","2023","M002","C002P","Net"," 162644.140","2.6"," 158416.564"," 166871.717"," "
"T4","2023","M001","C003A","01","      132.40","   7.0","      123.20","      141.60"," "
"T4","2023","M001","C003B","01","      270.20","   4.0","      259.50","      280.90"," "
"T4","2023","M001","C003C","01","      364.30","   5.7","      343.50","      385.10"," "
"T4","2023","M001","C003D","01","      437.30","   6.0","      411.00","      463.60"," "
"T4","2023","M001","C003E","01","      475.70","   8.9","      433.50","      518.00"," "
"T4","2023","M001","C003F","01","      299.50","   2.9","      290.70","      308.30"," "
"T4","2023","M001","C003A","02","       17.70","  19.5","       14.20","       21.10"," "
"T4","2023","M001","C003B","02","       37.20","  12.2","       32.70","       41.80"," "
"T4","2023","M001","C003C","02","       35.40","  19.9","       28.40","       42.40"," "
"T4","2023","M001","C003D","02","       37.00","  20.8","       29.30","       44.70"," "
"T4","2023","M001","C003E","02","       27.50","  21.1","       21.70","       33.30"," "
"T4","2023","M001","C003F","02","       31.20","   7.3","       28.90","       33.50"," "
"T4","2023","M001","C003A","03","       14.30","  34.6","        9.40","       19.30"," "
"T4","2023","M001","C003B","03","       33.30","  18.2","       27.20","       39.40"," "
"T4","2023","M001","C003C","03","       56.60","  18.7","       46.00","       67.20"," "
"T4","2023","M001","C003D","03","       70.20","  15.5","       59.30","       81.10"," "
"T4","2023","M001","C003E","03","       76.00","  30.5","       52.80","       99.20"," "
"T4","2023","M001","C003F","03","       42.70","   9.7","       38.60","       46.80"," "
"T4","2023","M001","C003A","04","      263.40","   7.5","      243.80","      283.00"," "
"T4","2023","M001","C003B","04","      373.50","   8.4","      342.10","      404.90"," "
"T4","2023","M001","C003C","04","      418.50","   6.8","      390.00","      447.10"," "
"T4","2023","M001","C003D","04","      547.90","  10.1","      492.50","      603.30"," "
"T4","2023","M001","C003E","04","      538.30","   9.7","      486.30","      590.30"," "
"T4","2023","M001","C003F","04","      398.00","   4.3","      380.80","      415.20"," "
"T4","2023","M001","C003A","05","       34.10","  16.1","       28.60","       39.60"," "
"T4","2023","M001","C003B","05","       65.30","  13.3","       56.60","       74.00"," "
"T4","2023","M001","C003C","05","       60.80","  13.3","       52.60","       68.90"," "
"T4","2023","M001","C003D","05","       69.40","  15.3","       58.80","       80.00"," "
"T4","2023","M001","C003E","05","       60.20","  22.1","       46.90","       73.50"," "
"T4","2023","M001","C003F","05","       57.10","   7.4","       52.90","       61.40"," "
"T4","2023","M001","C003A","06","       26.60","  24.3","       20.10","       33.00"," "
"T4","2023","M001","C003B","06","       55.40","  15.9","       46.60","       64.20"," "
"T4","2023","M001","C003C","06","       60.10","  16.9","       50.00","       70.20"," "
"T4","2023","M001","C003D","06","       50.70","  19.1","       41.00","       60.40"," "
"T4","2023","M001","C003E","06","       66.80","  43.5","       37.70","       95.90"," "
"T4","2023","M001","C003F","06","       49.70","  10.4","       44.50","       54.80"," "
"T4","2023","M001","C003A","07","      107.90","  12.7","       94.20","      121.70"," "
"T4","2023","M001","C003B","07","      253.60","  12.7","      221.30","      285.80"," "
"T4","2023","M001","C003C","07","      312.50","  14.3","      267.80","      357.30"," "
"T4","2023","M001","C003D","07","      369.80","  15.1","      314.10","      425.60"," "
"T4","2023","M001","C003E","07","      303.90","  21.3","      239.30","      368.60"," "
"T4","2023","M001","C003F","07","      251.60","   6.4","      235.50","      267.80"," "
"T4","2023","M001","C003A","08","       26.20","   7.0","       24.30","       28.00"," "
"T4","2023","M001","C003B","08","       38.20","   5.3","       36.20","       40.20"," "
"T4","2023","M001","C003C","08","       44.90","   8.0","       41.30","       48.50"," "
"T4","2023","M001","C003D","08","       49.50","   9.1","       45.00","       54.00"," "
"T4","2023","M001","C003E","08","       47.80","   8.4","       43.80","       51.80"," "
"T4","2023","M001","C003F","08","       39.20","   3.5","       37.80","       40.50"," "
"T4","2023","M001","C003A","09","       61.90","  15.9","       52.00","       71.70"," "
"T4","2023","M001","C003B","09","      144.70","  13.6","      125.00","      164.30"," "
"T4","2023","M001","C003C","09","      142.00","  11.3","      125.90","      158.00"," "
"T4","2023","M001","C003D","09","      177.60","  10.9","      158.30","      197.00"," "
"T4","2023","M001","C003E","09","      182.00","  16.6","      151.90","      212.20"," "
"T4","2023","M001","C003F","09","      133.00","   6.0","      125.00","      141.00"," "
"T4","2023","M001","C003A","10","        1.50"," 104.9","       -0.10","        3.00"," "
"T4","2023","M001","C003B","10","        8.50","  52.4","        4.00","       12.90"," "
"T4","2023","M001","C003C","10","       33.80","  31.1","       23.30","       44.30"," "
"T4","2023","M001","C003D","10","       35.30","  25.1","       26.40","       44.10"," "
"T4","2023","M001","C003E","10","       54.60","  36.1","       34.90","       74.40"," "
"T4","2023","M001","C003F","10","       19.90","  17.7","       16.40","       23.40"," "
"T4","2023","M001","C003A","11","       72.70","   7.9","       66.90","       78.40"," "
"T4","2023","M001","C003B","11","      147.80","   5.9","      139.00","      156.60"," "
"T4","2023","M001","C003C","11","      149.90","   9.4","      135.90","      164.00"," "
"T4","2023","M001","C003D","11","      177.90","   7.7","      164.30","      191.50"," "
"T4","2023","M001","C003E","11","      189.90","  17.8","      156.00","      223.70"," "
"T4","2023","M001","C003F","11","      138.80","   4.2","      133.00","      144.70"," "
"T4","2023","M001","C003A","13","       74.80","  20.6","       59.40","       90.20"," "
"T4","2023","M001","C003B","13","      141.90","   9.7","      128.20","      155.70"," "
"T4","2023","M001","C003C","13","      234.30","  14.1","      201.20","      267.40"," "
"T4","2023","M001","C003D","13","      277.50","  11.1","      246.70","      308.30"," "
"T4","2023","M001","C003E","13","      272.20","  19.8","      218.20","      326.20"," "
"T4","2023","M001","C003F","13","      175.70","   5.3","      166.40","      185.00"," "
"T4","2023","M001","C003A","14","      -25.40","  54.2","      -39.20","      -11.70"," "
"T4","2023","M001","C003B","14","      -40.10","  26.5","      -50.70","      -29.50"," "
"T4","2023","M001","C003C","14","      -51.30","  31.5","      -67.50","      -35.10"," "
"T4","2023","M001","C003D","14","      -54.40","  31.0","      -71.20","      -37.50"," "
"T4","2023","M001","C003E","14","      -22.00","  49.2","      -32.80","      -11.10"," "
"T4","2023","M001","C003F","14","      -38.90","  15.3","      -44.90","      -33.00"," "
"T4","2023","M001","C003A","Net","      807.90","   5.4","      764.00","      851.70"," "
"T4","2023","M001","C003B","Net","    1529.60","   4.2","    1465.40","    1593.80"," "
"T4","2023","M001","C003C","Net","    1861.80","   5.7","    1756.60","    1967.00"," "
"T4","2023","M001","C003D","Net","    2245.90","   5.6","    2119.90","    2371.80"," "
"T4","2023","M001","C003E","Net","    2273.00","   8.3","    2084.90","    2461.10"," "
"T4","2023","M001","C003F","Net","    1597.50","   2.6","    1556.00","    1639.00"," "
"T4","2023","M001","C004A","01","      280.10","   4.1","      268.70","      291.60"," "
"T4","2023","M001","C004B","01","      375.60","   7.4","      347.70","      403.40"," "
"T4","2023","M001","C004C","01","      405.10","   7.8","      373.40","      436.70"," "
"T4","2023","M001","C004D","01","      429.00","  17.8","      352.80","      505.30"," "
"T4","2023","M001","C004E","01","      459.30","   7.6","      424.30","      494.30"," "
"T4","2023","M001","C004F","01","      196.50","  11.9","      173.20","      219.80"," "
"T4","2023","M001","C004G","01","      297.70","  11.8","      262.70","      332.80"," "
"T4","2023","M001","C004H","01","      430.00","  11.9","      378.80","      481.10"," "
"T4","2023","M001","C004I","01","      132.40","   7.0","      123.20","      141.60"," "
"T4","2023","M001","C004J","01","      409.90","  11.3","      363.60","      456.30"," "
"T4","2023","M001","C004K","01","      299.50","   2.9","      290.70","      308.30"," "
"T4","2023","M001","C004A","02","       40.30","  14.0","       34.70","       46.00"," "
"T4","2023","M001","C004B","02","       32.30","  19.8","       25.90","       38.70"," "
"T4","2023","M001","C004C","02","       28.40","  24.1","       21.50","       35.20"," "
"T4","2023","M001","C004D","02","       23.00","  47.0","       12.20","       33.90"," "
"T4","2023","M001","C004E","02","       34.80","  28.2","       25.00","       44.60"," "
"T4","2023","M001","C004F","02","       13.40","  54.6","        6.10","       20.70"," "
"T4","2023","M001","C004G","02","       23.20","  31.9","       15.80","       30.60"," "
"T4","2023","M001","C004H","02","       43.70","  27.3","       31.80","       55.70"," "
"T4","2023","M001","C004I","02","       17.70","  19.5","       14.20","       21.10"," "
"T4","2023","M001","C004J","02","       47.40","  23.2","       36.40","       58.40"," "
"T4","2023","M001","C004K","02","       31.20","   7.3","       28.90","       33.50"," "
"T4","2023","M001","C004A","03","       36.10","  19.9","       28.90","       43.30"," "
"T4","2023","M001","C004B","03","       60.30","  22.6","       46.70","       74.00"," "
"T4","2023","M001","C004C","03","       58.40","  27.2","       42.50","       74.20"," "
"T4","2023","M001","C004D","03","      107.90","  46.8","       57.40","      158.40"," "
"T4","2023","M001","C004E","03","       71.20","  23.5","       54.50","       88.00"," "
"T4","2023","M001","C004F","03","       23.60","  36.5","       15.00","       32.20"," "
"T4","2023","M001","C004G","03","       26.80","  47.8","       14.00","       39.70"," "
"T4","2023","M001","C004H","03","       63.10","  31.3","       43.40","       82.90"," "
"T4","2023","M001","C004I","03","       14.30","  34.6","        9.40","       19.30"," "
"T4","2023","M001","C004J","03","       59.80","  40.4","       35.70","       83.90"," "
"T4","2023","M001","C004K","03","       42.70","   9.7","       38.60","       46.80"," "
"T4","2023","M001","C004A","04","      367.70","  10.4","      329.60","      405.80"," "
"T4","2023","M001","C004B","04","      444.90","   9.3","      403.70","      486.10"," "
"T4","2023","M001","C004C","04","      539.90","  14.5","      461.80","      617.90"," "
"T4","2023","M001","C004D","04","      547.50","  23.3","      420.10","      674.80"," "
"T4","2023","M001","C004E","04","      452.90","  11.7","      399.70","      506.10"," "
"T4","2023","M001","C004F","04","      442.00","  11.2","      392.40","      491.50"," "
"T4","2023","M001","C004G","04","      360.50","  16.7","      300.40","      420.70"," "
"T4","2023","M001","C004H","04","      514.40","  13.3","      446.10","      582.70"," "
"T4","2023","M001","C004I","04","      263.40","   7.5","      243.80","      283.00"," "
"T4","2023","M001","C004J","04","      499.80","   7.9","      460.40","      539.10"," "
"T4","2023","M001","C004K","04","      398.00","   4.3","      380.80","      415.20"," "
"T4","2023","M001","C004A","05","       72.80","  14.4","       62.40","       83.30"," "
"T4","2023","M001","C004B","05","       62.60","  18.5","       51.00","       74.30"," "
"T4","2023","M001","C004C","05","       71.80","  21.9","       56.10","       87.50"," "
"T4","2023","M001","C004D","05","       66.90","  42.7","       38.30","       95.40"," "
"T4","2023","M001","C004E","05","       74.20","  18.5","       60.50","       88.00"," "
"T4","2023","M001","C004F","05","       41.10","  30.9","       28.40","       53.80"," "
"T4","2023","M001","C004G","05","       37.10","  22.8","       28.70","       45.60"," "
"T4","2023","M001","C004H","05","       54.50","  21.1","       43.00","       66.10"," "
"T4","2023","M001","C004I","05","       34.10","  16.1","       28.60","       39.60"," "
"T4","2023","M001","C004J","05","       50.80","  25.3","       37.90","       63.70"," "
"T4","2023","M001","C004K","05","       57.10","   7.4","       52.90","       61.40"," "
"T4","2023","M001","C004A","06","       62.20","  16.8","       51.80","       72.60"," "
"T4","2023","M001","C004B","06","       60.40","  21.4","       47.40","       73.30"," "
"T4","2023","M001","C004C","06","       46.40","  24.4","       35.10","       57.70"," "
"T4","2023","M001","C004D","06","       52.90","  38.3","       32.60","       73.10"," "
"T4","2023","M001","C004E","06","       79.20","  29.6","       55.80","      102.70"," "
"T4","2023","M001","C004F","06","       24.70","  66.2","        8.40","       41.10"," "
"T4","2023","M001","C004G","06","       42.80","  36.0","       27.40","       58.20"," "
"T4","2023","M001","C004H","06","       50.50","  28.3","       36.20","       64.70"," "
"T4","2023","M001","C004I","06","       26.60","  24.3","       20.10","       33.00"," "
"T4","2023","M001","C004J","06","       52.80","  74.0","       13.80","       91.90"," "
"T4","2023","M001","C004K","06","       49.70","  10.4","       44.50","       54.80"," "
"T4","2023","M001","C004A","07","      277.50","  14.6","      237.10","      317.90"," "
"T4","2023","M001","C004B","07","      348.60","  15.3","      295.30","      402.00"," "
"T4","2023","M001","C004C","07","      348.70","  21.1","      275.00","      422.30"," "
"T4","2023","M001","C004D","07","      285.70","  46.2","      153.80","      417.60"," "
"T4","2023","M001","C004E","07","      384.50","  20.6","      305.40","      463.60"," "
"T4","2023","M001","C004F","07","      124.00","  25.0","       93.00","      155.10"," "
"T4","2023","M001","C004G","07","      138.90","  16.6","      115.80","      162.00"," "
"T4","2023","M001","C004H","07","      325.40","  20.5","      258.60","      392.30"," "
"T4","2023","M001","C004I","07","      107.90","  12.7","       94.20","      121.70"," "
"T4","2023","M001","C004J","07","      312.10","  17.9","      256.20","      368.10"," "
"T4","2023","M001","C004K","07","      251.60","   6.4","      235.50","      267.80"," "
"T4","2023","M001","C004A","08","       39.20","   6.1","       36.80","       41.60"," "
"T4","2023","M001","C004B","08","       44.80","  10.4","       40.20","       49.50"," "
"T4","2023","M001","C004C","08","       42.70","  10.5","       38.30","       47.20"," "
"T4","2023","M001","C004D","08","       40.30","  14.2","       34.50","       46.00"," "
"T4","2023","M001","C004E","08","       50.50","   9.1","       45.90","       55.10"," "
"T4","2023","M001","C004F","08","       29.70","  13.8","       25.60","       33.80"," "
"T4","2023","M001","C004G","08","       36.90","  16.7","       30.80","       43.10"," "
"T4","2023","M001","C004H","08","       61.10","  16.8","       50.80","       71.30"," "
"T4","2023","M001","C004I","08","       26.20","   7.0","       24.30","       28.00"," "
"T4","2023","M001","C004J","08","       43.80","  13.9","       37.70","       49.80"," "
"T4","2023","M001","C004K","08","       39.20","   3.5","       37.80","       40.50"," "
"T4","2023","M001","C004A","09","      162.30","  14.9","      138.00","      186.50"," "
"T4","2023","M001","C004B","09","      172.00","  18.1","      140.80","      203.20"," "
"T4","2023","M001","C004C","09","      196.10","  16.4","      163.90","      228.20"," "
"T4","2023","M001","C004D","09","      180.70","  36.9","      114.00","      247.30"," "
"T4","2023","M001","C004E","09","      182.40","  17.7","      150.10","      214.80"," "
"T4","2023","M001","C004F","09","       61.10","  25.6","       45.50","       76.80"," "
"T4","2023","M001","C004G","09","       71.60","  20.0","       57.20","       85.90"," "
"T4","2023","M001","C004H","09","      156.10","  19.3","      126.00","      186.10"," "
"T4","2023","M001","C004I","09","       61.90","  15.9","       52.00","       71.70"," "
"T4","2023","M001","C004J","09","      119.80","  17.1","       99.40","      140.30"," "
"T4","2023","M001","C004K","09","      133.00","   6.0","      125.00","      141.00"," "
"T4","2023","M001","C004A","10","        6.30","  51.2","        3.10","        9.50"," "
"T4","2023","M001","C004B","10","       49.40","  38.8","       30.20","       68.60"," "
"T4","2023","M001","C004C","10","       40.70","  29.3","       28.70","       52.60"," "
"T4","2023","M001","C004D","10","       57.00","  55.8","       25.20","       88.90"," "
"T4","2023","M001","C004E","10","       38.20","  44.7","       21.10","       55.30"," "
"T4","2023","M001","C004F","10","       12.20","  43.8","        6.90","       17.60"," "
"T4","2023","M001","C004G","10","       17.60","  94.5","        1.00","       34.30"," "
"T4","2023","M001","C004H","10","       39.50","  59.9","       15.90","       63.10"," "
"T4","2023","M001","C004I","10","        1.50"," 104.9","       -0.10","        3.00"," "
"T4","2023","M001","C004J","10","       24.10","  78.2","        5.30","       42.90"," "
"T4","2023","M001","C004K","10","       19.90","  17.7","       16.40","       23.40"," "
"T4","2023","M001","C004A","11","      163.60","   6.1","      153.60","      173.60"," "
"T4","2023","M001","C004B","11","      155.00","  10.7","      138.50","      171.50"," "
"T4","2023","M001","C004C","11","      176.50","   9.1","      160.50","      192.50"," "
"T4","2023","M001","C004D","11","      214.80","  37.1","      135.20","      294.50"," "
"T4","2023","M001","C004E","11","      207.80","  12.1","      182.60","      232.90"," "
"T4","2023","M001","C004F","11","       65.60","  20.3","       52.30","       78.90"," "
"T4","2023","M001","C004G","11","      100.90","  17.6","       83.10","      118.60"," "
"T4","2023","M001","C004H","11","      152.30","  15.1","      129.20","      175.30"," "
"T4","2023","M001","C004I","11","       72.70","   7.9","       66.90","       78.40"," "
"T4","2023","M001","C004J","11","      137.70","  21.1","      108.60","      166.70"," "
"T4","2023","M001","C004K","11","      138.80","   4.2","      133.00","      144.70"," "
"T4","2023","M001","C004A","13","      149.40","  10.5","      133.80","      165.00"," "
"T4","2023","M001","C004B","13","      334.10","  18.5","      272.20","      395.90"," "
"T4","2023","M001","C004C","13","      309.80","  14.1","      266.20","      353.50"," "
"T4","2023","M001","C004D","13","      315.10","  43.6","      177.70","      452.50"," "
"T4","2023","M001","C004E","13","      231.70","  14.0","      199.20","      264.10"," "
"T4","2023","M001","C004F","13","      105.10","  35.2","       68.10","      142.10"," "
"T4","2023","M001","C004G","13","       93.40","  25.7","       69.40","      117.40"," "
"T4","2023","M001","C004H","13","      236.20","  19.5","      190.20","      282.20"," "
"T4","2023","M001","C004I","13","       74.80","  20.6","       59.40","       90.20"," "
"T4","2023","M001","C004J","13","      185.30","  19.1","      149.90","      220.60"," "
"T4","2023","M001","C004K","13","      175.70","   5.3","      166.40","      185.00"," "
"T4","2023","M001","C004A","14","      -46.20","  28.2","      -59.20","      -33.20"," "
"T4","2023","M001","C004B","14","      -48.20","  40.2","      -67.50","      -28.80"," "
"T4","2023","M001","C004C","14","      -56.30","  37.7","      -77.50","      -35.00"," "
"T4","2023","M001","C004D","14","      -37.80","  75.1","      -66.30","       -9.40"," "
"T4","2023","M001","C004E","14","      -61.00","  46.0","      -89.00","      -32.90"," "
"T4","2023","M001","C004F","14","      -24.30"," 114.2","      -52.10","        3.50"," "
"T4","2023","M001","C004G","14","      -16.70","  61.2","      -26.90","       -6.50"," "
"T4","2023","M001","C004H","14","      -34.80","  50.9","      -52.50","      -17.10"," "
"T4","2023","M001","C004I","14","      -25.40","  54.2","      -39.20","      -11.70"," "
"T4","2023","M001","C004J","14","      -25.20","  52.5","      -38.50","      -12.00"," "
"T4","2023","M001","C004K","14","      -38.90","  15.3","      -44.90","      -33.00"," "
"T4","2023","M001","C004A","Net","    1611.30","   4.8","    1533.50","    1689.10"," "
"T4","2023","M001","C004B","Net","    2091.90","   7.0","    1946.40","    2237.30"," "
"T4","2023","M001","C004C","Net","    2208.20","   7.5","    2043.30","    2373.00"," "
"T4","2023","M001","C004D","Net","    2282.90","  17.8","    1877.30","    2688.50"," "
"T4","2023","M001","C004E","Net","    2205.80","   7.2","    2046.10","    2365.40"," "
"T4","2023","M001","C004F","Net","    1114.80","   9.7","    1006.10","    1223.50"," "
"T4","2023","M001","C004G","Net","    1230.80","   9.1","    1118.90","    1342.70"," "
"T4","2023","M001","C004H","Net","    2092.00","   9.7","    1890.00","    2293.90"," "
"T4","2023","M001","C004I","Net","      807.90","   5.4","      764.00","      851.70"," "
"T4","2023","M001","C004J","Net","    1918.00","   8.4","    1757.10","    2078.90"," "
"T4","2023","M001","C004K","Net","    1597.50","   2.6","    1556.00","    1639.00"," "
"T4","2023","M001","C005A","01","      299.50","   3.6","      288.80","      310.10"," "
"T4","2023","M001","C005B","01","      284.20","   5.5","      268.60","      299.70"," "
"T4","2023","M001","C005C","01","      343.30","   9.6","      310.30","      376.20"," "
"T4","2023","M001","C005D","01","      299.50","   2.9","      290.70","      308.30"," "
"T4","2023","M001","C005A","02","       31.10","  10.2","       27.90","       34.30"," "
"T4","2023","M001","C005B","02","       28.00","   9.7","       25.30","       30.70"," "
"T4","2023","M001","C005C","02","       40.80","  25.1","       30.60","       51.00"," "
"T4","2023","M001","C005D","02","       31.20","   7.3","       28.90","       33.50"," "
"T4","2023","M001","C005A","03","       40.70","  11.3","       36.20","       45.30"," "
"T4","2023","M001","C005B","03","       37.30","  18.6","       30.40","       44.30"," "
"T4","2023","M001","C005C","03","       65.50","  28.8","       46.60","       84.40"," "
"T4","2023","M001","C005D","03","       42.70","   9.7","       38.60","       46.80"," "
"T4","2023","M001","C005A","04","      364.10","   7.4","      337.30","      390.90"," "
"T4","2023","M001","C005B","04","      481.80","   4.5","      459.90","      503.60"," "
"T4","2023","M001","C005C","04","      313.20","  14.3","      268.50","      358.00"," "
"T4","2023","M001","C005D","04","      398.00","   4.3","      380.80","      415.20"," "
"T4","2023","M001","C005A","05","       70.40","   9.3","       63.90","       76.90"," "
"T4","2023","M001","C005B","05","       31.30","  11.0","       27.90","       34.70"," "
"T4","2023","M001","C005C","05","       72.00","  20.3","       57.40","       86.70"," "
"T4","2023","M001","C005D","05","       57.10","   7.4","       52.90","       61.40"," "
"T4","2023","M001","C005A","06","       57.90","  14.4","       49.60","       66.20"," "
"T4","2023","M001","C005B","06","       28.80","  17.2","       23.90","       33.80"," "
"T4","2023","M001","C005C","06","       72.80","  20.7","       57.70","       87.90"," "
"T4","2023","M001","C005D","06","       49.70","  10.4","       44.50","       54.80"," "
"T4","2023","M001","C005A","07","      255.80","   8.9","      232.90","      278.70"," "
"T4","2023","M001","C005B","07","      207.30","   9.6","      187.30","      227.20"," "
